,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
2227,Brice Samba,FRA,GK,Lens,Ligue 1,30,1994,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,4,0.27,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,415,512,81.1,11184,7765,89,90,98.9,185,188,98.4,138,229,60.3,0,0.0,0.1,0.0,0,15,1,0,1,0,0,2,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,90,57.7,15,90,15,0,0,0,1.60,19,14,+5,+0.33,+0.61,24.1,17.1,+7.0,+0.46,+0.63,549,405,540,9,0,0,549,1,1,100.0,0,0.0,323,1637,946,0,0,0,0,0,280,0
2228,Albert Sambi Lokonga,BEL,MF,Sevilla,La Liga,25,1999,17,12,1183,13.1,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1.0,21,75,15,0.00,0.15,0.15,0.00,0.15,0.03,0.05,0.08,0.03,0.08,13.1,25,1.90,24,0,0,1,0,0,2,0.15,2,0,0,0,0,0,679,760,89.3,11165,3338,350,373,93.8,263,288,91.3,51,77,66.2,2,0.6,0.8,+1.4,12,69,6,0,75,0,17,17,0,2,8,14,0,0,0,60,27,10,73.0,0,8,2,25.0,0.61,0.15,0.00,0.00,18.8,0,0,0,0.06,-0.4,-0.4,20,14,10,9,1,10,13,76.9,3,8,1,7,8,28,18,3,70,46.9,12,86,8,5,30,1,1.35,11,16,-5,-0.38,-0.38,13.7,14.8,-1.1,-0.09,+0.37,854,33,215,517,124,13,854,9,4,44.4,3,33.3,447,2532,1416,21,12,1,13,10,618,15
2229,Junior Sambia,FRA,DF,Empoli,Serie A,28,1996,11,1,244,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,14,11,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,2.7,5,1.84,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,64,102,62.7,1162,574,24,32,75.0,33,45,73.3,5,21,23.8,0,0.1,0.2,-0.1,3,7,7,5,14,0,3,2,0,20,1,8,0,0,0,13,4,3,57.1,0,6,0,0.0,2.21,0.00,0.00,0,23.3,2,0,0,0.05,-0.3,-0.3,10,8,3,3,4,8,8,100.0,0,2,0,2,1,11,2,0,22,9.3,1,75,0,10,17,15,0.18,1,7,-6,-2.21,-1.57,2.4,2.8,-0.4,-0.14,+0.41,136,3,15,58,64,5,136,6,2,33.3,3,50.0,58,183,76,1,1,0,4,5,63,11
2230,Chuky san jose,ESP,MF,Valladolid,La Liga,20,2004,10,4,346,3.8,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,2,3,10,0.00,0.00,0.00,0.00,0.00,0.08,0.13,0.21,0.08,0.21,3.8,7,1.83,4,2,0,0,1,0,0,0.00,0,0,0,0,0,0,49,76,64.5,810,260,28,34,82.4,14,20,70.0,7,15,46.7,0,0.5,0.6,-0.5,3,4,1,1,3,0,2,6,3,12,0,2,0,0,0,9,0,8,0.0,0,5,1,20.0,1.30,0.26,0.00,0.00,21.2,0,0,0,0.06,-0.3,-0.3,5,2,2,1,2,2,7,28.6,5,3,0,3,0,5,1,0,35,13.7,4,58,0,6,19,13,0.40,0,16,-16,-4.16,-2.96,1.8,11.3,-9.4,-2.46,-1.79,108,0,17,48,43,5,108,4,1,25.0,3,75.0,55,229,92,2,1,1,6,3,68,10
2231,Antonio Sanabria,PAR,FW,Torino,Serie A,29,1996,21,14,1122,12.5,2,1,3,2,0,1,1,0,2.7,1.9,0.5,2.4,6,15,47,0.16,0.08,0.24,0.16,0.24,0.22,0.04,0.26,0.16,0.19,12.5,19,1.53,13,1,0,2,3,0,3,0.24,1,1,0,0,1,0,181,225,80.4,2447,423,105,127,82.7,57,67,85.1,7,12,58.3,1,0.5,0.7,+0.5,8,13,3,0,15,0,13,13,1,0,1,2,1,0,0,22,18,47,27.7,2,15,4,26.7,1.20,0.32,0.13,0.50,14.1,0,0,1,0.13,-0.7,+0.1,2,2,1,0,1,1,4,25.0,3,6,1,5,1,3,9,0,53,43.0,14,73,5,7,14,6,1.24,9,13,-4,-0.32,-0.56,9.8,16.0,-6.2,-0.50,-0.08,316,11,37,165,118,29,315,9,4,44.4,5,55.6,200,800,190,6,6,1,25,22,254,47
2232,Oihan Sancet,ESP,MF,Athletic Club,La Liga,24,2000,21,17,1347,15.0,13,1,14,11,2,2,2,0,8.3,6.7,1.4,8.1,42,78,100,0.87,0.07,0.94,0.73,0.80,0.55,0.09,0.65,0.45,0.54,15.0,40,2.67,31,0,4,4,1,0,7,0.47,4,0,1,2,0,0,390,477,81.8,5961,1448,221,255,86.7,138,163,84.7,22,34,64.7,1,1.4,1.2,-0.4,17,58,13,1,78,0,12,18,3,17,5,6,0,0,0,59,9,9,50.0,13,40,15,37.5,2.67,1.00,0.28,0.73,15.7,0,2,2,0.17,+4.7,+4.3,10,6,6,3,1,4,12,33.3,8,9,0,9,5,15,5,0,64,53.5,17,72,4,4,30,0,1.90,30,13,+17,+1.14,+0.75,23.6,13.2,+10.4,+0.69,+0.19,641,4,52,314,290,61,639,41,19,46.3,18,43.9,385,2551,1423,42,33,6,48,37,518,100
2233,Alexis Sánchez,CHI,FW,Udinese,Serie A,36,1988,9,5,350,3.9,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.6,2,16,18,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16,3.9,15,3.86,11,0,0,2,2,0,0,0.00,0,0,0,0,0,0,103,129,79.8,1604,437,55,60,91.7,29,43,67.4,13,14,92.9,0,0.1,0.1,-0.1,2,10,5,0,16,0,3,8,4,6,3,1,0,0,0,13,1,10,9.1,0,5,0,0.0,1.29,0.00,0.00,0,17.9,0,0,0,0.12,-0.6,-0.6,3,1,0,2,1,1,5,20.0,4,3,0,3,3,6,0,1,39,13.4,5,59,0,4,14,5,1.33,4,3,+1,+0.26,+0.46,4.7,1.8,+2.9,+0.74,+1.21,159,1,10,73,79,9,159,5,2,40.0,2,40.0,96,371,86,2,4,0,11,8,130,18
2234,Antonio Sánchez,ESP,MF,Mallorca,La Liga,28,1997,23,7,928,10.3,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.4,13,28,34,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.13,0.08,0.13,10.3,15,1.45,9,2,1,2,1,0,0,0.00,0,0,0,0,0,0,281,382,73.6,4780,1490,137,157,87.3,100,132,75.8,32,62,51.6,0,0.6,0.8,-0.6,5,25,7,3,28,0,15,8,3,22,13,12,0,0,0,52,3,7,30.0,0,11,1,9.1,1.07,0.10,0.00,0.00,18.5,0,0,0,0.07,-0.8,-0.8,19,12,13,4,2,11,23,47.8,12,11,2,9,13,32,27,0,40,36.8,7,81,2,16,22,3,1.65,12,11,+1,+0.10,+0.49,12.3,12.5,-0.2,-0.02,-0.15,504,28,161,217,137,10,504,14,8,57.1,3,21.4,245,1196,480,13,8,4,13,4,281,34
2235,Iván Sánchez,ESP,MF,Valladolid,La Liga,32,1992,23,8,951,10.6,1,1,2,1,0,0,4,0,0.3,0.3,1.5,1.8,40,50,66,0.09,0.09,0.19,0.09,0.19,0.03,0.14,0.17,0.03,0.17,10.6,37,3.51,25,5,2,0,4,1,4,0.38,4,0,0,0,0,0,254,364,69.8,4642,1493,121,138,87.7,96,132,72.7,35,74,47.3,1,1.5,1.3,-0.5,13,32,12,7,50,0,11,30,1,66,10,14,0,0,0,40,8,9,47.1,1,7,2,28.6,0.66,0.19,0.14,0.50,21.9,1,0,0,0.05,+0.7,+0.7,26,14,14,6,6,9,20,45.0,11,11,3,8,10,36,7,0,41,37.7,8,72,2,15,25,5,0.57,9,27,-18,-1.70,-0.15,9.3,22.0,-12.7,-1.21,-0.46,472,9,81,199,200,12,472,33,16,48.5,7,21.2,287,2243,1247,40,21,6,16,14,324,66
2236,Javi Sánchez,ESP,DF,Valladolid,La Liga,28,1997,21,21,1749,19.4,1,0,1,1,0,0,4,0,0.4,0.4,0.3,0.7,4,23,4,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03,19.4,13,0.67,12,0,0,1,0,0,1,0.05,0,0,0,1,0,0,825,962,85.8,16541,6105,260,276,94.2,469,496,94.6,92,168,54.8,0,0.3,0.4,-0.3,6,33,1,0,23,0,15,3,0,0,20,15,0,1,0,46,32,29,52.5,1,8,3,37.5,0.41,0.15,0.13,0.33,21.2,4,0,0,0.05,+0.6,+0.6,23,15,17,5,1,16,25,64.0,9,32,24,8,20,43,97,3,83,69.4,21,83,16,0,0,1,0.71,13,43,-30,-1.54,+0.21,15.9,33.8,-17.9,-0.92,0.00,1157,193,789,343,28,10,1157,2,2,100.0,0,0.0,620,2854,1425,4,3,0,8,1,793,4
2237,Juanlu Sánchez,ESP,MF,Sevilla,La Liga,21,2003,23,12,1146,12.7,4,3,7,4,0,0,4,1,1.8,1.8,1.1,2.9,24,39,47,0.31,0.24,0.55,0.31,0.55,0.14,0.09,0.23,0.14,0.23,12.7,23,1.81,21,0,0,2,0,0,3,0.24,3,0,0,0,0,0,332,412,80.6,4771,1229,197,218,90.4,127,151,84.1,4,13,30.8,3,1.1,0.6,+1.9,15,33,7,2,39,1,6,5,1,22,8,21,0,0,0,44,11,16,40.7,4,12,5,41.7,0.94,0.39,0.33,0.80,11.9,0,0,0,0.15,+2.2,+2.2,28,21,17,9,2,19,30,63.3,11,14,0,14,8,36,14,0,50,45.5,12,80,3,11,17,3,1.17,18,21,-3,-0.24,-0.10,11.3,19.8,-8.5,-0.67,-0.71,534,13,116,270,154,23,534,17,5,29.4,12,70.6,249,1386,794,24,15,4,12,11,336,47
2238,Manu Sánchez,ESP,DF,Alavés,La Liga,24,2000,24,21,1865,20.7,1,0,1,1,0,0,6,0,1.6,1.6,0.4,2.1,34,61,72,0.05,0.00,0.05,0.05,0.05,0.08,0.02,0.10,0.08,0.10,20.7,29,1.40,19,3,0,5,2,0,2,0.10,1,0,0,1,0,0,581,815,71.3,9241,3582,315,369,85.4,220,291,75.6,36,100,36.0,0,0.4,0.8,-0.4,8,42,14,8,61,0,35,15,1,56,22,36,0,1,0,72,7,22,24.1,1,11,2,18.2,0.53,0.10,0.09,0.50,15.7,0,0,0,0.17,-0.6,-0.6,55,36,29,19,7,28,49,57.1,21,37,4,33,22,77,47,1,78,74.0,21,85,14,3,24,2,1.00,22,33,-11,-0.53,-0.67,22.9,28.4,-5.5,-0.26,-0.54,1071,42,311,448,320,21,1071,25,6,24.0,15,60.0,406,2295,1208,34,22,4,31,14,467,72
2239,Robert Sánchez,ESP,GK,Chelsea,Premier League,27,1997,23,23,2070,23.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.0,5,0.22,4,1,0,0,0,0,2,0.09,1,1,0,0,0,0,667,912,73.1,15767,10400,167,168,99.4,349,363,96.1,148,371,39.9,0,0.0,0.0,0.0,1,14,1,0,1,0,2,3,0,0,2,0,0,2,0,34,5,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,17,8,90,79.3,23,90,23,0,0,6,1.74,41,28,+13,+0.57,+0.07,41.9,30.7,+11.2,+0.49,-0.38,970,712,960,10,0,0,970,0,0,0,0,0,653,3064,1948,0,0,0,0,0,613,0
2240,Jadon Sancho,ENG,FW,Chelsea,Premier League,24,2000,23,16,1430,15.9,2,4,6,2,0,0,1,0,1.6,1.6,3.2,4.8,83,71,177,0.13,0.25,0.38,0.13,0.38,0.10,0.20,0.30,0.10,0.30,15.9,56,3.52,49,0,3,1,3,0,10,0.63,9,0,0,0,1,0,544,655,83.1,7242,1652,344,384,89.6,168,200,84.0,10,21,47.6,4,3.2,2.8,+0.8,29,22,36,0,71,0,4,10,5,19,1,5,2,0,0,77,4,7,36.4,2,18,4,22.2,1.13,0.25,0.11,0.50,14.9,0,0,0,0.09,+0.4,+0.4,9,5,2,2,5,5,11,45.5,6,6,0,6,1,10,6,2,62,54.8,16,76,6,7,30,1,1.74,29,22,+7,+0.44,-0.25,29.0,20.7,+8.3,+0.52,-0.09,786,11,96,242,456,97,786,82,42,51.2,32,39.0,525,3614,2027,83,29,46,23,15,622,177
2241,Philipp Sander,GER,MF,Gladbach,Bundliga,27,1998,24,14,1250,13.9,1,0,1,1,0,0,2,0,1.0,1.0,0.6,1.6,12,53,25,0.07,0.00,0.07,0.07,0.07,0.07,0.04,0.12,0.07,0.12,13.9,24,1.73,16,4,1,3,0,0,1,0.07,1,0,0,0,0,0,541,676,80.0,8326,2193,282,309,91.3,221,263,84.0,25,71,35.2,0,0.6,0.8,-0.6,11,48,7,4,53,0,16,7,0,19,20,16,0,0,0,76,30,18,62.5,1,15,5,33.3,1.08,0.36,0.07,0.20,21.0,0,0,0,0.07,0.0,0.0,32,16,16,14,2,10,21,47.6,11,15,6,9,20,52,42,3,52,53.4,14,80,5,10,14,1,1.50,23,22,+1,+0.07,-0.09,22.6,27.1,-4.6,-0.33,-0.10,830,47,229,481,129,15,830,16,9,56.3,6,37.5,415,1945,831,12,11,4,13,7,512,25
2242,James Sands,USA,MF,St. Pauli,Bundliga,24,2000,7,5,453,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,16,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,5.0,7,1.39,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,155,204,76.0,2286,644,76,90,84.4,62,72,86.1,6,15,40.0,0,0.0,0.1,0.0,1,8,3,0,16,0,11,5,1,2,5,6,0,0,0,21,17,8,68.0,0,1,0,0.0,0.20,0.00,0.00,0,9.5,0,0,0,0.05,-0.1,-0.1,15,6,5,8,2,4,4,100.0,0,5,1,4,5,20,8,0,65,19.4,5,86,4,2,12,0,1.00,5,4,+1,+0.20,+0.72,4.4,4.9,-0.5,-0.10,+0.14,259,12,63,148,49,6,259,1,1,100.0,0,0.0,119,413,146,0,0,0,3,3,152,6
2243,Leroy Sané,GER,FW,Bayern Munich,Bundliga,29,1996,22,12,1136,12.6,7,4,11,7,0,0,2,0,6.3,6.3,4.0,10.3,44,41,183,0.55,0.32,0.87,0.55,0.87,0.50,0.32,0.82,0.50,0.82,12.6,54,4.28,38,1,5,3,5,2,7,0.55,6,0,0,0,0,1,511,624,81.9,7096,1251,294,333,88.3,167,197,84.8,22,34,64.7,4,4.0,4.4,0.0,24,13,22,4,41,0,10,21,3,35,6,11,1,0,0,57,4,4,50.0,7,42,15,35.7,3.33,1.19,0.17,0.47,16.9,2,0,0,0.15,+0.7,+0.7,17,11,2,7,8,8,14,57.1,6,7,0,7,6,23,1,0,52,48.5,12,77,5,10,22,2,2.36,39,14,+25,+1.98,+0.04,33.0,7.7,+25.3,+2.01,+0.48,804,6,40,281,496,78,804,67,26,38.8,35,52.2,540,3224,1434,44,28,21,44,19,642,183
2244,Arouna Sangante,SEN,DF,Le Havre,Ligue 1,22,2002,10,10,792,8.8,2,0,2,2,0,0,3,1,0.5,0.5,0.1,0.6,8,33,1,0.23,0.00,0.23,0.23,0.23,0.05,0.01,0.06,0.05,0.06,8.8,11,1.25,9,2,0,0,0,0,0,0.00,0,0,0,0,0,0,419,489,85.7,7995,2690,126,140,90.0,260,278,93.5,27,60,45.0,0,0.1,0.1,-0.1,3,36,3,1,33,0,17,10,1,2,16,10,0,0,0,29,15,13,53.6,2,6,3,50.0,0.68,0.34,0.33,0.67,10.0,0,0,0,0.08,+1.5,+1.5,14,10,7,7,0,6,10,60.0,4,9,5,4,16,30,34,1,79,33.8,10,79,7,0,0,2,0.80,8,16,-8,-0.91,+0.31,9.0,12.7,-3.7,-0.42,+0.45,588,51,262,294,35,7,588,4,3,75.0,1,25.0,341,1822,1005,8,4,0,9,5,382,1
2245,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,Premier League,27,1997,7,3,274,3.0,0,1,1,0,0,0,2,0,0.0,0.0,0.3,0.3,0,11,2,0.00,0.33,0.33,0.00,0.33,0.01,0.10,0.11,0.01,0.11,3.0,4,1.31,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,113,145,77.9,1621,495,68,77,88.3,38,47,80.9,5,10,50.0,1,0.3,0.1,+0.7,2,8,1,0,11,0,8,5,0,0,2,10,0,0,0,22,5,5,50.0,0,1,1,100.0,0.33,0.33,0.00,0.00,32.0,0,0,0,0.02,0.0,0.0,18,10,5,12,1,4,10,40.0,6,5,0,5,2,20,4,0,39,10.5,3,71,1,4,16,2,1.57,6,2,+4,+1.31,+0.93,4.9,2.8,+2.1,+0.68,+0.66,189,8,44,120,27,7,189,1,0,0.0,1,100.0,73,284,83,0,2,0,4,1,97,2
2246,Nhoa Sangui,FRA,DF,Reims,Ligue 1,19,2006,21,9,949,10.5,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,12,35,44,0.00,0.09,0.09,0.00,0.09,0.01,0.03,0.04,0.01,0.04,10.5,13,1.23,11,2,0,0,0,0,3,0.28,2,1,0,0,0,0,422,506,83.4,6200,1708,239,257,93.0,143,167,85.6,20,41,48.8,1,0.3,0.4,+0.7,3,33,2,1,35,0,8,6,0,12,5,7,0,0,0,52,4,11,26.7,0,3,0,0.0,0.28,0.00,0.00,0,24.5,0,0,0,0.03,-0.1,-0.1,14,7,5,5,4,7,10,70.0,3,7,3,4,5,19,18,0,45,40.6,9,80,5,12,19,3,0.86,15,20,-5,-0.47,+0.11,11.3,18.2,-6.9,-0.65,-0.08,584,22,181,276,133,8,584,12,7,58.3,5,41.7,296,1479,746,12,11,2,14,14,366,44
2247,Maroan Sannadi,ESP,FW,Athletic Club,La Liga,24,2001,6,2,238,2.6,1,0,1,1,0,0,0,0,1.9,1.9,0.2,2.1,5,10,22,0.38,0.00,0.38,0.38,0.38,0.72,0.08,0.80,0.72,0.80,2.6,9,3.40,5,0,2,2,0,0,0,0.00,0,0,0,0,0,0,39,50,78.0,572,135,23,25,92.0,12,16,75.0,3,6,50.0,0,0.2,0.3,-0.2,3,6,5,0,10,0,6,8,2,1,0,0,0,0,0,6,4,7,36.4,1,7,4,57.1,2.65,1.51,0.14,0.25,13.6,0,0,0,0.27,-0.9,-0.9,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,40,9.4,2,70,0,4,25,1,1.83,8,3,+5,+1.89,+1.22,4.7,1.6,+3.1,+1.15,+0.61,87,0,0,40,48,18,87,9,3,33.3,5,55.6,55,251,136,5,2,2,10,6,73,22
2248,Kaishu Sano,JPN,MF,Mainz 05,Bundliga,24,2000,26,26,2323,25.8,0,0,0,0,0,0,3,0,0.6,0.6,0.7,1.3,31,126,35,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,25.8,49,1.90,42,0,1,2,2,2,5,0.19,4,0,0,0,0,1,857,1070,80.1,14016,4246,436,509,85.7,352,413,85.2,57,94,60.6,0,0.7,1.5,-0.7,14,97,15,0,126,0,13,22,1,6,42,28,0,0,0,131,65,50,56.5,0,15,2,13.3,0.58,0.08,0.00,0.00,20.9,0,0,0,0.04,-0.6,-0.6,46,28,14,24,8,15,33,45.5,18,53,11,42,42,88,47,0,89,99.3,26,89,24,0,0,0,1.73,44,28,+16,+0.62,+0.62,36.3,36.4,-0.1,0.00,-2.65,1366,52,321,809,249,24,1366,39,25,64.1,13,33.3,645,3348,1521,31,26,5,35,25,767,35
2249,Nicola Sansone,ITA,MF,Lecce,Serie A,33,1991,5,0,65,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,0,1,5,0.00,0.00,0.00,0.00,0.00,0.30,0.06,0.36,0.30,0.36,0.7,5,6.92,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0,18,22,81.8,294,98,11,12,91.7,4,5,80.0,3,5,60.0,0,0.0,0.1,0.0,1,2,0,0,1,0,0,1,1,4,0,0,0,0,0,1,0,1,0.0,0,3,1,33.3,4.15,1.38,0.00,0.00,26.0,2,0,0,0.07,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.5,0,0,0,5,13,5,0.67,2,1,+1,+1.38,+2.37,1.7,1.3,+0.4,+0.49,+1.17,29,1,4,10,15,3,29,1,0,0.0,1,100.0,20,83,7,0,1,0,1,1,20,5
2250,Baptiste Santamaria,FRA,MF,Nice,Ligue 1,30,1995,8,8,666,7.4,0,0,0,0,0,0,0,0,0.8,0.8,0.8,1.6,6,34,8,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.11,0.22,7.4,15,2.03,10,0,1,3,1,0,1,0.14,1,0,0,0,0,0,308,367,83.9,5027,1485,163,175,93.1,117,137,85.4,21,35,60.0,0,0.8,0.2,-0.8,6,33,3,0,34,0,10,14,0,1,14,8,0,0,0,35,16,9,64.0,0,14,3,21.4,1.89,0.41,0.00,0.00,20.9,0,0,0,0.06,-0.8,-0.8,17,8,9,6,2,12,17,70.6,5,11,2,9,14,31,15,1,83,28.5,8,83,5,0,0,0,2.13,13,5,+8,+1.08,+0.49,12.4,6.6,+5.8,+0.79,+0.19,458,16,106,291,67,10,458,6,5,83.3,1,16.7,195,806,455,6,4,0,9,6,310,8
2251,Baptiste Santamaria,FRA,MF,Rennes,Ligue 1,30,1995,10,5,482,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,28,9,0.00,0.19,0.19,0.00,0.19,0.02,0.05,0.07,0.02,0.07,5.4,10,1.87,8,1,0,0,1,0,2,0.37,1,0,0,0,1,0,254,308,82.5,4350,1435,120,137,87.6,98,113,86.7,27,38,71.1,1,0.3,0.3,+0.7,4,32,4,0,28,0,5,7,0,4,12,4,1,0,1,34,13,13,50.0,0,4,1,25.0,0.75,0.19,0.00,0.00,19.1,0,0,0,0.03,-0.1,-0.1,11,4,7,3,1,6,11,54.5,5,10,4,6,12,23,7,0,48,20.6,5,79,3,5,18,7,1.10,5,9,-4,-0.75,-0.84,5.0,7.8,-2.8,-0.53,-0.65,377,12,93,226,58,4,377,5,1,20.0,4,80.0,198,715,216,3,5,0,12,5,256,9
2252,Jesús Santiago,ESP,MF,Getafe,La Liga,20,2004,15,4,317,3.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,2,12,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,3.5,4,1.14,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,75,108,69.4,1134,338,44,59,74.6,25,32,78.1,3,11,27.3,0,0.0,0.2,0.0,0,9,0,0,12,0,13,5,0,2,0,7,0,0,0,18,1,4,20.0,0,1,0,0.0,0.28,0.00,0.00,0,22.9,0,0,0,0.02,0.0,0.0,12,7,6,6,0,5,8,62.5,3,5,2,3,0,12,3,0,21,12.6,4,52,0,11,10,10,1.25,4,3,+1,+0.28,+0.24,2.1,4.7,-2.6,-0.73,-0.50,150,6,33,86,33,4,150,6,0,0.0,6,100.0,75,376,148,2,3,0,8,0,74,4
